TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2019,REGION1,SEWS00X00,1,1.8215984752537067
S01B1,2020,REGION1,DKBM00X00,1,2.013657102204288
S01B1,2020,REGION1,DKNG00X00,1,1.8172427931185726
S01B1,2020,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2020,REGION1,DKNGCHPH3,1,0.7352379934185227
S01B1,2020,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2020,REGION1,FICO00X00,1,13.850087983291116
S01B1,2020,REGION1,FICOCHPH3,1,3.320538590794606
S01B1,2020,REGION1,FING00I00,1,1.2072984025190132
S01B1,2020,REGION1,FINGCCPH2,1,0.7243775927562224
S01B1,2020,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2020,REGION1,FIUR00I00,1,11.897006165829909
S01B1,2020,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2020,REGION1,FIWSSTPH1,1,1.1598532104800054
S01B1,2020,REGION1,NOCO00I00,1,0.026973609714263835
S01B1,2020,REGION1,NOCOCHPH3,1,0.005529599944703987
S01B1,2020,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2020,REGION1,NOWSSTPH1,1,0.03050739148562557
S01B1,2020,REGION1,SEBM00X00,1,9.3431805947931
S01B1,2020,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2020,REGION1,SENUG2PH3,1,11.155967888440294
S01B1,2020,REGION1,SEUR00I00,1,33.805929492340624
S01B1,2020,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2020,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2020,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2020,REGION1,DKEL00TD0,1,4.349411663324737
S01B1,2020,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2020,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2020,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2020,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2020,REGION1,DKWS00X00,1,1.0410821154234164
S01B1,2020,REGION1,FICOSTPH3,1,2.703076595683172
S01B1,2020,REGION1,FIEL00TD0,1,13.530356939632934
S01B1,2020,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2020,REGION1,FIHYDMPH2,1,0.9280026185292516
S01B1,2020,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2020,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2020,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2020,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2020,REGION1,FIWS00X00,1,3.748650572482965
S01B1,2020,REGION1,NOCOSTPH1,1,0.005529599944703987
S01B1,2020,REGION1,NOEL00TD0,1,22.07417966970719
S01B1,2020,REGION1,NOELSEPH1,2,0.5050092320383
S01B1,2020,REGION1,NOHYDMPH1,1,1.6465588731313343
S01B1,2020,REGION1,NOHYDMPH2,1,11.069398565489044
S01B1,2020,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2020,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2020,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2020,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2020,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2020,REGION1,NOWS00X00,1,0.46054607614053733
S01B1,2020,REGION1,SEBMSTPH3,1,3.211951064821664
S01B1,2020,REGION1,SEEL00TD0,1,22.26159523037067
S01B1,2020,REGION1,SEHYDMPH1,1,0.4544486590214389
