REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DKNG00X00,CO2,1,2020,352.0382607188447
REGION1,DKNG00X00,CO2,1,2023,50.954069394135274
REGION1,DKNG00X00,CO2,1,2024,50.787980750293805
REGION1,DKNG00X00,CO2,1,2025,50.62190521831913
REGION1,DKNGCCPH2,DKPM25,1,2015,0.00015515083357134338
REGION1,DKNGCCPH2,DKPM25,1,2016,0.00015515083357134338
REGION1,DKNGCCPH2,DKPM25,1,2017,0.00015515083357134338
REGION1,DKNGCCPH2,DKPM25,1,2018,0.00015515082744480173
REGION1,DKNGCCPH2,DKPM25,1,2019,0.00015515082144487146
REGION1,DKNGCCPH2,DKPM25,1,2020,0.00015515082144487146
REGION1,DKNGCCPH2,DKPM25,1,2023,0.00012276964228127938
REGION1,DKNGCCPH2,DKPM25,1,2024,0.00012276963780434916
REGION1,DKNGCCPH2,DKPM25,1,2025,0.00012276966509730926
REGION1,DKNGCHPH3,DKPM25,1,2015,0.0006268343357333509
REGION1,DKNGCHPH3,DKPM25,1,2016,0.0006275837335681687
REGION1,DKNGCHPH3,DKPM25,1,2017,0.0005443316016957828
REGION1,DKNGCHPH3,DKPM25,1,2018,0.0004610811719430143
REGION1,DKNGCHPH3,DKPM25,1,2019,0.00037783061968048163
REGION1,DKNGCHPH3,DKPM25,1,2020,0.00047939468837279535
REGION1,DKNGSTPH2,DKPM25,1,2015,0.0008420110965224856
REGION1,DKNGSTPH2,DKPM25,1,2016,0.0008420111585188727
REGION1,DKNGSTPH2,DKPM25,1,2017,0.0008420111585188727
REGION1,DKNGSTPH2,DKPM25,1,2018,0.0008420110860696131
REGION1,DKNGSTPH2,DKPM25,1,2019,0.0008420110899892222
REGION1,DKSODIFH1,DKSO,1,2015,0.00031892429630325103
REGION1,DKSODIFH1,DKSO,1,2016,0.00031892429630325103
REGION1,DKSODIFH1,DKSO,1,2017,0.00031892429630325103
REGION1,DKSODIFH1,DKSO,1,2018,0.00031892429630325103
REGION1,DKSODIFH1,DKSO,1,2019,0.00031892429630325103
REGION1,DKSODIFH1,DKSO,1,2020,0.00031892429630325103
REGION1,DKSODIFH1,DKSO,1,2021,0.00031892429630325103
REGION1,DKSODIFH1,DKSO,1,2022,0.00031892429630325103
REGION1,DKSODIFH1,DKSO,1,2023,0.0003012062798419593
REGION1,DKSODIFH1,DKSO,1,2024,8.859008230645864e-05
REGION1,DKSOUTPH2,DKSO,1,2015,2.7707788502497177
REGION1,DKSOUTPH2,DKSO,1,2016,2.7707788502497177
REGION1,DKSOUTPH2,DKSO,1,2017,2.7707788502497177
REGION1,DKSOUTPH2,DKSO,1,2018,2.7707788502497177
REGION1,DKSOUTPH2,DKSO,1,2019,2.770778850249723
REGION1,DKSOUTPH2,DKSO,1,2020,2.770778850249723
REGION1,DKSOUTPH2,DKSO,1,2021,2.770778850249723
REGION1,DKSOUTPH2,DKSO,1,2022,2.770778850249723
REGION1,DKSOUTPH2,DKSO,1,2023,2.770778850249723
REGION1,DKSOUTPH2,DKSO,1,2024,2.770403228300743
REGION1,DKSOUTPH2,DKSO,1,2025,2.7650878233623555
REGION1,DKSOUTPH2,DKSO,1,2026,2.7650878233623555
REGION1,DKSOUTPH2,DKSO,1,2027,2.7650878233623555
REGION1,DKSOUTPH2,DKSO,1,2028,4.94278212714693
REGION1,DKSOUTPH2,DKSO,1,2029,8.396385503856665
REGION1,DKSOUTPH2,DKSO,1,2030,11.849988880566404
REGION1,DKSOUTPH2,DKSO,1,2031,12.289988467692918
REGION1,DKSOUTPH2,DKSO,1,2032,12.719988064202926
REGION1,DKSOUTPH2,DKSO,1,2033,13.149987660712931
REGION1,DKSOUTPH2,DKSO,1,2034,13.579987257222935
REGION1,DKSOUTPH2,DKSO,1,2035,14.019986844349452
REGION1,DKSOUTPH2,DKSO,1,2036,14.379986506543872
REGION1,DKSOUTPH2,DKSO,1,2037,14.739986168738296
REGION1,DKSOUTPH2,DKSO,1,2038,15.10998582154923
REGION1,DKSOUTPH2,DKSO,1,2039,15.469985483743654
REGION1,DKSOUTPH2,DKSO,1,2040,15.829985145938075
REGION1,DKSOUTPH2,DKSO,1,2041,16.119984873816914
REGION1,DKSOUTPH2,DKSO,1,2042,16.409984601695758
REGION1,DKSOUTPH2,DKSO,1,2043,16.699984329574598
REGION1,DKSOUTPH2,DKSO,1,2044,16.989984057453434
REGION1,DKSOUTPH2,DKSO,1,2045,17.27998378533228
REGION1,DKSOUTPH2,DKSO,1,2046,17.389983682113908
REGION1,DKSOUTPH2,DKSO,1,2047,17.489983588279024
REGION1,DKSOUTPH2,DKSO,1,2048,17.599983485060655
REGION1,DKSOUTPH2,DKSO,1,2049,17.70998338184228
REGION1,DKSOUTPH2,DKSO,1,2050,17.8099832880074
REGION1,DKSOUTPH2,DKSO,1,2051,17.899983203556005
REGION1,DKSOUTPH2,DKSO,1,2052,17.98998311910461
REGION1,DKSOUTPH2,DKSO,1,2053,18.079983034653214
REGION1,DKSOUTPH2,DKSO,1,2054,18.169982950201824
REGION1,DKSOUTPH2,DKSO,1,2055,18.25998286575043
REGION1,DKSOUTPH2,DKSO,1,2056,18.349982781299037
REGION1,DKSOUTPH2,DKSO,1,2057,18.44998268746415
REGION1,DKSOUTPH2,DKSO,1,2058,18.539982603012753
REGION1,DKSOUTPH2,DKSO,1,2059,18.629982518561363
REGION1,DKSOUTPH2,DKSO,1,2060,18.719982434109966
REGION1,DKWIOFPH3,DKWO,1,2015,14.291801275780738
REGION1,DKWIOFPH3,DKWO,1,2016,14.291801275780738
REGION1,DKWIOFPH3,DKWO,1,2017,14.291801275780738
REGION1,DKWIOFPH3,DKWO,1,2018,14.291801275780738
REGION1,DKWIOFPH3,DKWO,1,2019,14.291801275780738
REGION1,DKWIOFPH3,DKWO,1,2020,14.291801275780738
REGION1,DKWIOFPH3,DKWO,1,2021,14.291801275780738
REGION1,DKWIOFPH3,DKWO,1,2022,14.291801275780738
REGION1,DKWIOFPH3,DKWO,1,2023,14.236140838081987
REGION1,DKWIOFPH3,DKWO,1,2024,14.17991817373981
REGION1,DKWIOFPH3,DKWO,1,2025,13.730136859002416
REGION1,DKWIOFPH3,DKWO,1,2026,13.730136859002416
REGION1,DKWIOFPH3,DKWO,1,2027,11.827561897663234
REGION1,DKWIOFPH3,DKWO,1,2028,9.578655323976257
REGION1,DKWIOFPH3,DKWO,1,2029,9.578655323976257
REGION1,DKWIOFPH3,DKWO,1,2030,9.578655323976257
REGION1,DKWIOFPH3,DKWO,1,2031,9.578655323976257
REGION1,DKWIOFPH3,DKWO,1,2032,9.578655323976257
REGION1,DKWIOFPH3,DKWO,1,2033,9.578655323976257
REGION1,DKWIOFPH3,DKWO,1,2034,6.989039404375703
REGION1,DKWIOFPH3,DKWO,1,2035,4.661421100609681
REGION1,DKWIOFPH3,DKWO,1,2036,4.651863247671512
REGION1,DKWIOFPH3,DKWO,1,2037,4.49331533422658
REGION1,DKWIONPH3,DKWI,1,2015,31.943983599953643
REGION1,DKWIONPH3,DKWI,1,2016,31.943983599953643
REGION1,DKWIONPH3,DKWI,1,2017,31.943983599953643
REGION1,DKWIONPH3,DKWI,1,2018,31.943983599953643
REGION1,DKWIONPH3,DKWI,1,2019,31.943983599953643
REGION1,DKWIONPH3,DKWI,1,2020,31.943983599953643
REGION1,DKWIONPH3,DKWI,1,2021,31.943983599953643
REGION1,DKWIONPH3,DKWI,1,2022,31.922691268800307
REGION1,DKWIONPH3,DKWI,1,2023,30.901150734928397
REGION1,DKWIONPH3,DKWI,1,2024,29.003021306189925
REGION1,DKWIONPH3,DKWI,1,2025,28.505354012271404
REGION1,DKWIONPH3,DKWI,1,2026,28.079097921297908
REGION1,DKWIONPH3,DKWI,1,2027,27.438116860001152
REGION1,DKWIONPH3,DKWI,1,2028,26.277930492888476
REGION1,DKWIONPH3,DKWI,1,2029,26.277930492888476
REGION1,DKWIONPH3,DKWI,1,2030,26.216592200450595
