VALUE
Finland (FI)| Sun (SO)| Distributed PV (DI)| Final electricity (F)| Historic (H)| size 1
Finland (FI)| Sun (SO)| Utility PV (UT)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Uranium (UR)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Finland (FI)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 2
Finland (FI)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 3
Finland (FI)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| New (N)| size 3
Finland (FI)| Waste (WS)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Finland (FI)| Waste (WS)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Waste (WS)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1
Norway (NO)| Biofuel (BF)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Norway (NO)| Biofuel (BF)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Norway (NO)| Biofuel (BF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Norway (NO)| Biomass (BM)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Norway (NO)| Biomass (BM)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Norway (NO)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1
Norway (NO)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Norway (NO)| Biomass (BM)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Coal (CO)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Norway (NO)| Coal (CO)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Coal (CO)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Norway (NO)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1
Norway (NO)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Electricity (EL)| unspecified (00)| Unknown energy level (T)| Unknown age (D)| size 0
Norway (NO)| Electricity (EL)| connected to Sweden (SE)| Primary energy commodity (P)| Historic (H)| size 1
Norway (NO)| Heavy fuel oil (HF)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Norway (NO)| Heavy fuel oil (HF)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2
