TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2018,REGION1,FIHGSRPH2,1,0.7953943014164616
S01B1,2018,REGION1,NOHGTDP00,1,1.1883144281236353
S01B1,2018,REGION1,SEHGTDP00,1,0.6105295461826321
S01B1,2018,REGION1,FIHGTDP00,1,0.79220961874909
S01B1,2019,REGION1,DKBM00X00,1,2.013657102204288
S01B1,2019,REGION1,DKCO00I00,1,0.5824753953912444
S01B1,2019,REGION1,DKNG00X00,1,0.06713756916158414
S01B1,2019,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2019,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2019,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2019,REGION1,FIBM00X00,1,0.015008899126710969
S01B1,2019,REGION1,FING00I00,1,1.2051416757911515
S01B1,2019,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2019,REGION1,FIUR00I00,1,19.1022352521776
S01B1,2019,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2019,REGION1,FIWSSTPH1,1,3.034535141506775
S01B1,2019,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2019,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2019,REGION1,SEBM00X00,1,11.74121126332386
S01B1,2019,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2019,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2019,REGION1,SENUG2PH3,1,11.215517930486348
S01B1,2019,REGION1,SEUR00I00,1,33.98638398475277
S01B1,2019,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2019,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2019,REGION1,SEELLTEH1,1,0.9773567902264297
S01B1,2019,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2019,REGION1,DKCOSTPH1,1,0.23639039763609543
S01B1,2019,REGION1,DKEL00TD0,1,4.369247127406787
S01B1,2019,REGION1,DKELSEPH1,2,0.5058198107852838
S01B1,2019,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2019,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2019,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2019,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2019,REGION1,DKWS00X00,1,1.181582513306732
S01B1,2019,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2019,REGION1,FIEL00TD0,1,13.650856935194378
S01B1,2019,REGION1,FIELSEPH1,2,2.748241839577362
S01B1,2019,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2019,REGION1,FIHYDMPH2,1,0.9280026185292516
S01B1,2019,REGION1,FINUG3PN3,1,2.3777279762227144
S01B1,2019,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2019,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2019,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2019,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2019,REGION1,FIWS00X00,1,9.168772495216693
S01B1,2019,REGION1,NOEL00TD0,1,22.0509154759526
S01B1,2019,REGION1,NOHYDMPH1,1,1.6465588731313343
S01B1,2019,REGION1,NOHYDMPH2,1,11.069398565489044
S01B1,2019,REGION1,NOHYDMPH3,1,6.0113655997282445
S01B1,2019,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2019,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2019,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2019,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2019,REGION1,NOWIONPN3,1,1.3344638842553578
S01B1,2019,REGION1,NOWS00X00,1,0.3844454150048249
S01B1,2019,REGION1,SEBMSTPH3,1,4.050597847494012
S01B1,2019,REGION1,SEEL00TD0,1,22.29002392495767
S01B1,2019,REGION1,SEHYDMPH1,1,0.4660332421821388
S01B1,2019,REGION1,SEHYDMPH2,1,4.552661087613367
S01B1,2019,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2019,REGION1,SEHYDSPH2,1,0.1285631987143677
S01B1,2019,REGION1,SEHYDSPH3,1,0.4631039953689589
S01B1,2019,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2019,REGION1,SESOUTPH2,1,1.0728397086833132e-07
S01B1,2019,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2019,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2019,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2019,REGION1,SEWS00X00,1,1.8215984752537067
S01B1,2019,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2019,REGION1,SEHGSRPH2,1,0.6129838749582863
S01B1,2019,REGION1,FIHGSRPH2,1,0.7953943014164616
S01B1,2019,REGION1,NOHGTDP00,1,1.1883144281236353
S01B1,2019,REGION1,SEHGTDP00,1,0.6105295461826321
S01B1,2019,REGION1,FIHGTDP00,1,0.79220961874909
S01B1,2020,REGION1,DKBM00X00,1,0.5467368744135352
S01B1,2020,REGION1,DKCO00I00,1,0.5546448497495502
S01B1,2020,REGION1,DKNG00X00,1,0.06667789268874091
S01B1,2020,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2020,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2020,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2020,REGION1,FICO00X00,1,15.10050488839816
S01B1,2020,REGION1,FICOCHPH3,1,3.320538590794606
S01B1,2020,REGION1,FING00I00,1,1.2051416757911515
S01B1,2020,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2020,REGION1,FIUR00I00,1,11.897006165829909
S01B1,2020,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2020,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2020,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2020,REGION1,NOWSSTPH1,1,0.11310110586680665
S01B1,2020,REGION1,SEBM00X00,1,11.739311863437573
S01B1,2020,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2020,REGION1,SECO00X00,1,0.5593652314495465
S01B1,2020,REGION1,SECOCHPH3,1,0.22934015770659788
S01B1,2020,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2020,REGION1,SENUG2PH3,1,11.155967888440294
S01B1,2020,REGION1,SEUR00I00,1,33.805929492340624
S01B1,2020,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2020,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2020,REGION1,SEELLTEH1,1,0.9773567902264297
S01B1,2020,REGION1,FIELEEEH1,1,1.4185635698143608
S01B1,2020,REGION1,DKBMSTPH3,1,0.19135809740283471
S01B1,2020,REGION1,DKCOSTPH1,1,0.22740479772595146
S01B1,2020,REGION1,DKEL00TD0,1,4.349411663324737
S01B1,2020,REGION1,DKELNOPH1,2,1.0348437360247058
S01B1,2020,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2020,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2020,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2020,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2020,REGION1,DKWS00X00,1,1.150094119606896
S01B1,2020,REGION1,FICOSTPH3,1,3.290772423544318
S01B1,2020,REGION1,FIEL00TD0,1,13.530356939632934
S01B1,2020,REGION1,FIELSEPH1,2,2.8579984686204654
S01B1,2020,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2020,REGION1,FIHYDMPH2,1,0.9280026185292516
S01B1,2020,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2020,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2020,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2020,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2020,REGION1,FIWS00X00,1,0.43478757069212326
S01B1,2020,REGION1,NOEL00TD0,1,22.07417966970719
S01B1,2020,REGION1,NOHYDMPH1,1,1.6465588731313343
S01B1,2020,REGION1,NOHYDMPH2,1,11.069398565489044
S01B1,2020,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2020,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2020,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2020,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2020,REGION1,NOWIONPN3,1,2.001695826383037
S01B1,2020,REGION1,NOWS00X00,1,0.696527881247585
S01B1,2020,REGION1,SEBMSTPH3,1,4.050597847494012
S01B1,2020,REGION1,SEEL00TD0,1,22.26159523037067
S01B1,2020,REGION1,SEHYDMPH1,1,0.4544486590214389
