REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,S01B1,ATE2,2050,17.368799343390002
REGION1,S01B2,ATE2,2050,58.65401769552
REGION1,S01B3,ATE2,2050,9.81460740845
REGION1,S02B1,ATE2,2050,9.42049749509
REGION1,S02B2,ATE2,2050,33.251705762040004
REGION1,S02B3,ATE2,2050,3.4732562265599998
REGION1,S03B1,ATE2,2050,33.604797737380004
REGION1,S03B2,ATE2,2050,150.77835378007
REGION1,S03B3,ATE2,2050,24.01571818964
REGION1,S04B1,ATE2,2050,9.92085323986
REGION1,S04B2,ATE2,2050,34.642411565450004
REGION1,S04B3,ATE2,2050,5.64566707642
REGION1,S05B1,ATE2,2050,10.49973989738
REGION1,S05B2,ATE2,2050,35.45218463758
REGION1,S05B3,ATE2,2050,5.94739038766
REGION1,S01B1,ATE2,2051,17.34367780035
REGION1,S01B2,ATE2,2051,58.5691828488
REGION1,S01B3,ATE2,2051,9.80041194925
REGION1,S02B1,ATE2,2051,9.40687206085
REGION1,S02B2,ATE2,2051,33.2036118126
REGION1,S02B3,ATE2,2051,3.4682326463999997
REGION1,S03B1,ATE2,2051,33.5561930897
