REGION,TECHNOLOGY,VALUE
REGION1,FRBMCSPN2,6755.8118878777805
REGION1,FRBMSTPH3,62.35055030564446
REGION1,FRCO00I00,506.55385417653565
REGION1,FRCO00X00,17.96135702431683
REGION1,FRCOCHPH3,0.6260166830408448
REGION1,FRCOSTPH3,244.43903772934027
REGION1,FREL00TD0,109705.30117080663
REGION1,FRELITPH1,1760.0259726360007
REGION1,FRELUKPH1,2363.39409407605
REGION1,FRGO00X00,779.7913823163827
REGION1,FRGOCVPH2,164.28438558729343
REGION1,FRHYDMPH0,5235.053793271961
REGION1,FRHYDMPH1,450.80333245646455
REGION1,FRHYDMPH2,2356.5685216251104
REGION1,FRHYDMPH3,558.715209819882
REGION1,FRHYDSPH2,74.76944500035806
REGION1,FRHYDSPH3,634.0203420662913
REGION1,FRNG00I00,1703.5821399768995
REGION1,FRNG00X00,471.0966626985443
REGION1,FRNGCCPH2,1303.0406711563066
REGION1,FRNGCHPH3,0.040089599599104
REGION1,FRNGGCPH2,0.004147199958528
REGION1,FRNGGCPN2,17.716418765764494
REGION1,FRNUG2PH3,35865.264448599766
REGION1,FRNUG3PN3,13939.464142532459
REGION1,FRSODIFH1,0.0912133006375563
REGION1,FRSOUTPH2,16203.913755049462
REGION1,FRUR00I00,150923.26904970797
REGION1,FRWIOFPN3,4386.348017790476
REGION1,FRWIONPH3,1382.7721530580625
REGION1,FRWIONPN3,29468.87516320536
REGION1,FRWS00X00,11586.375223905154
REGION1,FRWSCHPH2,121.7404590558037
REGION1,FRWSSTPH1,2756.7361701952937
REGION1,GRBM00I00,33.802232126104656
REGION1,GRBM00X00,1692.299145386338
REGION1,GRBMCSPN2,463.72452249704946
REGION1,GRBMSTPH3,169.0950650592445
REGION1,GRCO00X00,1687.9079500735138
REGION1,GRCOCHPH3,168.03089324662818
REGION1,GRCOSTPH3,593.2371369994979
REGION1,GREL00TD0,11694.78354674228
REGION1,GRELITPH1,517.9992341117728
REGION1,GRGO00X00,44.67309302153327
REGION1,GRGOCVPH2,9.834203605301308
REGION1,GRHYDMPH1,43.251104048768035
REGION1,GRHYDMPH2,177.66057573615177
REGION1,GRHYDMPH3,273.7027343000728
REGION1,GRHYDSPH2,174.0788004809537
REGION1,GRHYDSPH3,267.23667828448356
REGION1,GRNG00I00,1733.9214383510207
REGION1,GRNGCCPH2,998.0095274188154
REGION1,GRNGGCPN2,41.92400092494312
REGION1,GRSODIFH1,0.4418397861711473
REGION1,GRSOUTPH2,3712.494224606194
REGION1,GRWIONPH3,4662.965419018059
