REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATHYDSPH2,ATHY,1,2044,10.685963945216827
REGION1,ATHYDSPH2,ATHY,1,2045,10.685960968655127
REGION1,ATHYDSPH2,ATHY,1,2046,10.685960945862757
REGION1,ATHYDSPH2,ATHY,1,2047,10.685960425138555
REGION1,ATHYDSPH2,ATHY,1,2048,10.685960445934292
REGION1,ATHYDSPH2,ATHY,1,2049,9.999345646584235
REGION1,ATHYDSPH2,ATHY,1,2050,8.908837371491543
REGION1,ATHYDSPH2,ATHY,1,2051,8.908838397223189
REGION1,ATHYDSPH2,ATHY,1,2052,8.90884023552717
REGION1,ATHYDSPH2,ATHY,1,2053,8.90883808233463
REGION1,ATHYDSPH2,ATHY,1,2054,8.908837644296499
REGION1,ATHYDSPH2,ATHY,1,2055,8.908837829473686
REGION1,ATHYDSPH2,ATHY,1,2056,8.908838789789483
REGION1,ATHYDSPH2,ATHY,1,2057,8.90883826873831
REGION1,ATHYDSPH2,ATHY,1,2058,8.90883843177707
REGION1,ATHYDSPH2,ATHY,1,2059,6.485488826113688
REGION1,ATHYDSPH2,ATHY,1,2060,6.485488930671716
REGION1,ATHYDSPH3,ATHY,1,2015,46.205207393113696
REGION1,ATHYDSPH3,ATHY,1,2016,46.20520775751304
REGION1,ATHYDSPH3,ATHY,1,2017,46.20521996831012
REGION1,ATHYDSPH3,ATHY,1,2018,46.20519911709262
REGION1,ATHYDSPH3,ATHY,1,2019,46.20521547706438
REGION1,ATHYDSPH3,ATHY,1,2020,46.20519825567344
REGION1,ATHYDSPH3,ATHY,1,2021,46.205206646629094
REGION1,ATHYDSPH3,ATHY,1,2022,70.56734261402556
REGION1,ATHYDSPH3,ATHY,1,2023,73.01922922200717
REGION1,ATHYDSPH3,ATHY,1,2024,75.02324217844861
REGION1,ATHYDSPH3,ATHY,1,2025,75.96324348909452
REGION1,ATHYDSPH3,ATHY,1,2026,75.98682583557166
REGION1,ATHYDSPH3,ATHY,1,2027,76.00680182414303
REGION1,ATHYDSPH3,ATHY,1,2028,76.16593262881202
REGION1,ATHYDSPH3,ATHY,1,2029,76.82146185395942
REGION1,ATHYDSPH3,ATHY,1,2030,77.5126323811716
REGION1,ATHYDSPH3,ATHY,1,2031,77.7998179672553
REGION1,ATHYDSPH3,ATHY,1,2032,79.61744270676967
REGION1,ATHYDSPH3,ATHY,1,2033,80.45777971761322
REGION1,ATHYDSPH3,ATHY,1,2034,81.62874570578981
REGION1,ATHYDSPH3,ATHY,1,2035,82.61353180329087
REGION1,ATHYDSPH3,ATHY,1,2036,83.55058090294595
REGION1,ATHYDSPH3,ATHY,1,2037,84.47916284981993
REGION1,ATHYDSPH3,ATHY,1,2038,88.2998751602039
REGION1,ATHYDSPH3,ATHY,1,2039,91.01089204384662
REGION1,ATHYDSPH3,ATHY,1,2040,91.32591817294792
REGION1,ATHYDSPH3,ATHY,1,2041,92.08757252568505
REGION1,ATHYDSPH3,ATHY,1,2042,93.47579930436841
REGION1,ATHYDSPH3,ATHY,1,2043,94.56001480628049
REGION1,ATHYDSPH3,ATHY,1,2044,97.68088652132613
REGION1,ATHYDSPH3,ATHY,1,2045,98.79762463046099
REGION1,ATHYDSPH3,ATHY,1,2046,100.98941153456484
REGION1,ATHYDSPH3,ATHY,1,2047,102.11914309570996
REGION1,ATHYDSPH3,ATHY,1,2048,103.96075644144666
REGION1,ATHYDSPH3,ATHY,1,2049,108.75734130119524
REGION1,ATHYDSPH3,ATHY,1,2050,112.30117593318795
REGION1,ATHYDSPH3,ATHY,1,2051,113.57132960138456
REGION1,ATHYDSPH3,ATHY,1,2052,115.76627407122626
REGION1,ATHYDSPH3,ATHY,1,2053,115.99481839362278
REGION1,ATHYDSPH3,ATHY,1,2054,118.1965390089983
REGION1,ATHYDSPH3,ATHY,1,2055,119.88078110775005
REGION1,ATHYDSPH3,ATHY,1,2056,128.22213460883722
REGION1,ATHYDSPH3,ATHY,1,2057,128.55281045387218
REGION1,ATHYDSPH3,ATHY,1,2058,129.4987966710564
REGION1,ATHYDSPH3,ATHY,1,2059,134.72089670894596
REGION1,ATHYDSPH3,ATHY,1,2060,138.65057692458055
REGION1,ATNG00I00,CO2,1,2023,2513.9479256943728
REGION1,ATNG00I00,CO2,1,2024,2526.4951241596073
REGION1,ATNG00I00,CO2,1,2025,2711.7123822700833
REGION1,ATNG00I00,CO2,1,2026,2789.146048834197
REGION1,ATNG00I00,CO2,1,2027,2866.5551972934263
REGION1,ATNG00I00,CO2,1,2028,2943.9905634192287
REGION1,ATNG00I00,CO2,1,2029,823.6965582962112
REGION1,ATNG00I00,CO2,1,2033,352.41963570962145
REGION1,ATNG00I00,CO2,1,2034,1188.2675026993982
REGION1,ATNG00I00,CO2,1,2035,2040.5448547837518
REGION1,ATNG00I00,CO2,1,2036,2334.0315508727545
REGION1,ATNG00I00,CO2,1,2037,2469.594909845414
REGION1,ATNG00I00,CO2,1,2038,2798.5298891660527
REGION1,ATNG00I00,CO2,1,2039,2134.2032486002204
REGION1,ATNG00I00,CO2,1,2040,3139.0199528472704
REGION1,ATNG00I00,CO2,1,2041,3727.1069726431997
REGION1,ATNG00I00,CO2,1,2042,3342.8310462683567
REGION1,ATNG00I00,CO2,1,2043,3358.043985759326
REGION1,ATNG00I00,CO2,1,2044,3373.25831298339
REGION1,ATNG00I00,CO2,1,2045,3388.4719342311423
REGION1,ATNG00I00,CO2,1,2046,3383.0500785469294
REGION1,ATNG00I00,CO2,1,2047,3377.6289418574866
REGION1,ATNG00I00,CO2,1,2048,3372.207744016575
REGION1,ATNG00I00,CO2,1,2049,3366.7868759893604
REGION1,ATNG00I00,CO2,1,2050,3361.3653590755066
REGION1,ATNG00I00,CO2,1,2051,3361.365622706604
REGION1,ATNG00I00,CO2,1,2052,3361.36550168885
REGION1,ATNG00I00,CO2,1,2053,3219.58185096285
REGION1,ATNG00I00,CO2,1,2054,3361.3652361984196
REGION1,ATNG00I00,CO2,1,2055,2680.154007573879
REGION1,ATNG00I00,CO2,1,2056,577.905608207539
REGION1,ATNG00I00,CO2,1,2057,964.7109842102169
REGION1,ATNG00I00,CO2,1,2058,2129.4123273279
REGION1,ATNG00I00,CO2,1,2059,444.20945541072365
REGION1,ATNG00I00,CO2,1,2060,1303.7366985472916
REGION1,ATNG00X00,CO2,1,2022,2015.4680538387631
REGION1,ATNG00X00,CO2,1,2023,1816.703066090499
REGION1,ATNG00X00,CO2,1,2024,1617.9373921349684
REGION1,ATNG00X00,CO2,1,2025,1419.1668127648745
REGION1,ATNG00X00,CO2,1,2026,1328.2051074684334
REGION1,ATNG00X00,CO2,1,2027,1237.243437709757
REGION1,ATNG00X00,CO2,1,2028,1146.280379107705
REGION1,ATNG00X00,CO2,1,2029,1055.3205433165865
REGION1,ATNG00X00,CO2,1,2030,964.3584350122637
REGION1,ATNG00X00,CO2,1,2031,837.604522497466
REGION1,ATNG00X00,CO2,1,2032,710.8455284595361
REGION1,ATNG00X00,CO2,1,2033,584.091694132953
REGION1,ATNG00X00,CO2,1,2034,457.33418588130314
REGION1,ATNG00X00,CO2,1,2035,330.5778960819805
REGION1,ATNG00X00,CO2,1,2036,285.09702523396385
REGION1,ATNG00X00,CO2,1,2037,239.616291816814
REGION1,ATNG00X00,CO2,1,2038,194.13546370122089
REGION1,ATNG00X00,CO2,1,2039,148.65450412176085
REGION1,ATNG00X00,CO2,1,2040,103.17373331830657
REGION1,ATNG00X00,CO2,1,2041,82.53942347828985
REGION1,ATNG00X00,CO2,1,2042,61.90444188072151
REGION1,ATNG00X00,CO2,1,2043,41.26961115674813
REGION1,ATNG00X00,CO2,1,2044,20.634780432774885
REGION1,ATNGCCPH2,ATPM25,1,2022,0.004840356617317931
REGION1,ATNGCCPH2,ATPM25,1,2023,0.010434347627741997
REGION1,ATNGCCPH2,ATPM25,1,2024,0.01001832463928208
REGION1,ATNGCCPH2,ATPM25,1,2025,0.010018324145341675
REGION1,ATNGCCPH2,ATPM25,1,2026,0.01001832386923305
REGION1,ATNGCCPH2,ATPM25,1,2027,0.010018325322378492
REGION1,ATNGCCPH2,ATPM25,1,2028,0.010018325896421812
REGION1,ATNGCCPH2,ATPM25,1,2029,0.004617588585999462
REGION1,ATNGCCPH2,ATPM25,1,2030,0.002377766540830637
REGION1,ATNGCCPH2,ATPM25,1,2031,0.002065236260434192
REGION1,ATNGCCPH2,ATPM25,1,2032,0.001752693450800441
REGION1,ATNGCCPH2,ATPM25,1,2033,0.0023091054366939402
REGION1,ATNGCCPH2,ATPM25,1,2034,0.004057471260249649
REGION1,ATNGCCPH2,ATPM25,1,2035,0.00584634938267444
REGION1,ATNGCCPH2,ATPM25,1,2036,0.006457843959565455
REGION1,ATNGCCPH2,ATPM25,1,2037,0.006679955827082166
REGION1,ATNGCCPH2,ATPM25,1,2038,0.0073788534279377385
REGION1,ATNGCCPH2,ATPM25,1,2039,0.005628719140958329
REGION1,ATNGCCPH2,ATPM25,1,2040,0.007994101970766523
REGION1,ATNGCCPH2,ATPM25,1,2041,0.009408172169511168
REGION1,ATNGCCPH2,ATPM25,1,2042,0.008421606118462231
REGION1,ATNGCCPH2,ATPM25,1,2043,0.008421604445902706
REGION1,ATNGCCPH2,ATPM25,1,2044,0.008421606211520733
REGION1,ATNGCCPH2,ATPM25,1,2045,0.0084216063531683
REGION1,ATNGCCPH2,ATPM25,1,2046,0.008421604761437716
REGION1,ATNGCCPH2,ATPM25,1,2047,0.008421604957301859
REGION1,ATNGCCPH2,ATPM25,1,2048,0.008421605001078731
REGION1,ATNGCCPH2,ATPM25,1,2049,0.008421605869985235
REGION1,ATNGCCPH2,ATPM25,1,2050,0.008421605115966112
REGION1,ATNGCCPH2,ATPM25,1,2051,0.008421605776470631
REGION1,ATNGCCPH2,ATPM25,1,2052,0.008421605473271298
REGION1,ATNGCCPH2,ATPM25,1,2053,0.008066379012960881
REGION1,ATNGCCPH2,ATPM25,1,2054,0.008421604808108385
REGION1,ATNGCCPH2,ATPM25,1,2055,0.006714890019563102
REGION1,ATNGCCPH2,ATPM25,1,2056,0.001447891647209896
REGION1,ATNGCCPH2,ATPM25,1,2057,0.002416998478941893
REGION1,ATNGCCPH2,ATPM25,1,2058,0.005335055203507593
REGION1,ATNGCCPH2,ATPM25,1,2059,0.0011129277012827804
REGION1,ATNGCCPH2,ATPM25,1,2060,0.003266397572853671
REGION1,ATSODIFH1,ATSO,1,2015,0.002242667499173472
REGION1,ATSODIFH1,ATSO,1,2016,0.002242667499173472
REGION1,ATSODIFH1,ATSO,1,2017,0.002242667499173472
REGION1,ATSODIFH1,ATSO,1,2018,0.002242667499173472
REGION1,ATSODIFH1,ATSO,1,2019,0.002242667499173472
REGION1,ATSODIFH1,ATSO,1,2020,0.002242667499173472
REGION1,ATSODIFH1,ATSO,1,2021,0.002242667499173472
REGION1,ATSODIFH1,ATSO,1,2022,0.0022426674991734724
