REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B1,DKGO00X00,1,DKGO,2051,27.31599520574652
REGION1,S01B1,DKGO00X00,1,DKGO,2052,27.28869316794165
REGION1,S01B1,DKGO00X00,1,DKGO,2053,27.261391130136776
REGION1,S01B1,DKGO00X00,1,DKGO,2054,27.234089092331903
REGION1,S01B1,DKGO00X00,1,DKGO,2055,27.20685513940933
REGION1,S01B1,DKGO00X00,1,DKGO,2056,27.17968927136908
REGION1,S01B1,DKGO00X00,1,DKGO,2057,27.15252340332881
REGION1,S01B1,DKGO00X00,1,DKGO,2059,1.9733961703111185
REGION1,S01B1,DKGO00X00,1,DKGO,2060,3.1216926517230768
REGION1,S01B1,DKGOCVPH2,1,DKE1,2022,1.0204546698231844
REGION1,S01B1,DKGOCVPH2,1,DKE1,2023,1.0908734070698864
REGION1,S01B1,DKGOCVPH2,1,DKE1,2024,1.1615269676408513
REGION1,S01B1,DKGOCVPH2,1,DKE1,2025,1.2324164639493065
REGION1,S01B1,DKGOCVPH2,1,DKE1,2026,1.9459080025641649
REGION1,S01B1,DKGOCVPH2,1,DKE1,2028,3.3801567040950897
REGION1,S01B1,DKGOCVPH2,1,DKE1,2029,4.100927184343883
REGION1,S01B1,DKGOCVPH2,1,DKE1,2030,4.824150706259641
REGION1,S01B1,DKGOCVPH2,1,DKE1,2031,5.385031277888644
REGION1,S01B1,DKGOCVPH2,1,DKE1,2032,5.948207938743428
REGION1,S01B1,DKGOCVPH2,1,DKE1,2033,6.513692949882282
REGION1,S01B1,DKGOCVPH2,1,DKE1,2034,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2035,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2036,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2037,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2038,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2039,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2040,5.8481059149155525
REGION1,S01B1,DKGOCVPH2,1,DKE1,2043,2.7173026364013046
REGION1,S01B1,DKGOCVPH2,1,DKE1,2044,1.9549682457977713
REGION1,S01B1,DKGOCVPH2,1,DKE1,2047,6.569847371964224
REGION1,S01B1,DKGOCVPH2,1,DKE1,2048,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2049,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2050,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2051,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2052,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2053,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2054,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2055,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2056,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2057,6.8084882306418235
REGION1,S01B1,DKGOCVPH2,1,DKE1,2059,0.49582070881120344
REGION1,S01B1,DKGOCVPH2,1,DKE1,2060,0.7851181695848869
