REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCSPN2,1,2050,DKBM,S04B2,10.156885915055543
REGION1,DKBMCSPN2,1,2050,DKBM,S04B3,4.238915158607864
REGION1,DKBMCSPN2,1,2050,DKBM,S05B2,10.156885915055543
REGION1,DKBMCSPN2,1,2050,DKBM,S05B3,0.4796193465357837
REGION1,DKBMCSPN2,1,2051,DKBM,S01B1,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S01B2,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S01B3,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S02B1,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S03B1,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S03B2,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S03B3,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S04B1,0.6217767729892194
REGION1,DKBMCSPN2,1,2051,DKBM,S04B2,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S04B3,3.658290146448101
REGION1,DKBMCSPN2,1,2051,DKBM,S05B2,12.451778385602488
REGION1,DKBMCSPN2,1,2051,DKBM,S05B3,3.3805267402334596
REGION1,DKBMCSPN2,1,2052,DKBM,S01B1,13.63531961330945
REGION1,DKBMCSPN2,1,2052,DKBM,S01B2,13.63531961330945
REGION1,DKBMCSPN2,1,2052,DKBM,S01B3,13.63531961330945
REGION1,DKBMCSPN2,1,2052,DKBM,S02B1,13.63531961330945
REGION1,DKBMCSPN2,1,2052,DKBM,S02B2,2.5377320827687195
REGION1,DKBMCSPN2,1,2052,DKBM,S03B1,13.200476163080907
REGION1,DKBMCSPN2,1,2052,DKBM,S03B2,13.63531961330945
REGION1,DKBMCSPN2,1,2052,DKBM,S03B3,13.63531961330945
REGION1,DKBMCSPN2,1,2052,DKBM,S04B2,13.63531961330945
REGION1,DKBMCSPN2,1,2052,DKBM,S05B2,13.63531961330945
REGION1,DKBMCSPN2,1,2053,DKBM,S01B1,14.830590003819148
REGION1,DKBMCSPN2,1,2053,DKBM,S01B2,14.830590003819148
REGION1,DKBMCSPN2,1,2053,DKBM,S01B3,14.830590003819148
REGION1,DKBMCSPN2,1,2053,DKBM,S02B1,14.830590003819148
REGION1,DKBMCSPN2,1,2053,DKBM,S02B2,2.0291760957606795
REGION1,DKBMCSPN2,1,2053,DKBM,S03B1,14.830590003819148
REGION1,DKBMCSPN2,1,2053,DKBM,S03B2,14.830590003819148
REGION1,DKBMCSPN2,1,2053,DKBM,S03B3,14.830590003819148
