TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2018,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2018,REGION1,SEBM00X00,1,0.1699855292211043
S01B1,2018,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2018,REGION1,SECO00X00,1,0.5708414129411845
S01B1,2018,REGION1,SECOCHPH3,1,0.22934015770659788
S01B1,2018,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2018,REGION1,SENUG2PH3,1,13.680230263197664
S01B1,2018,REGION1,SEUR00I00,1,41.45520176656788
S01B1,2018,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2018,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2018,REGION1,SEELLTEH1,1,0.9773567902264297
S01B1,2018,REGION1,DKCOSTPH1,1,0.23639039763609543
S01B1,2018,REGION1,DKEL00TD0,1,4.389471522157111
S01B1,2018,REGION1,DKELNOPH1,2,0.24008934375717705
S01B1,2018,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2018,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2018,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2018,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2018,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2018,REGION1,FICOSTPH3,1,1.1369033410627585
S01B1,2018,REGION1,FIEL00TD0,1,13.773348666219649
S01B1,2018,REGION1,FIELSEPH1,2,1.786582463215742
S01B1,2018,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2018,REGION1,FIHYDMPH2,1,0.9606236744692809
S01B1,2018,REGION1,FINUG3PN3,1,2.3777279762227144
S01B1,2018,REGION1,FISOUTPH2,1,3.096734945077366e-06
S01B1,2018,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2018,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2018,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2018,REGION1,FIWS00X00,1,8.791136492994577
S01B1,2018,REGION1,NOEL00TD0,1,22.02613405217054
S01B1,2018,REGION1,NOHYDMPH1,1,1.65688030944156
S01B1,2018,REGION1,NOHYDMPH2,1,11.105214275082888
S01B1,2018,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2018,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2018,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2018,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2018,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2018,REGION1,NOWIONPN3,1,0.6672319421276789
S01B1,2018,REGION1,NOWS00X00,1,0.39550864237835254
S01B1,2018,REGION1,SEEL00TD0,1,22.317970777263536
S01B1,2018,REGION1,SEHYDMPH1,1,0.4679215316644373
S01B1,2018,REGION1,SEHYDMPH2,1,4.596349019080487
S01B1,2018,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2018,REGION1,SEHYDSPH3,1,0.4631039953689589
S01B1,2018,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2018,REGION1,SESOUTPH2,1,1.0728397089360228e-07
S01B1,2018,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2018,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2018,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2018,REGION1,SEWS00X00,1,1.87364533552095
S01B1,2018,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2018,REGION1,SEHGSRPH2,1,0.6129838749582863
S01B1,2018,REGION1,FIHGSRPH2,1,0.7953943014164616
S01B1,2018,REGION1,NOHGTDP00,1,1.1883144281236353
S01B1,2018,REGION1,SEHGTDP00,1,0.6105295461826321
S01B1,2018,REGION1,FIHGTDP00,1,0.79220961874909
S01B1,2019,REGION1,DKNG00X00,1,0.1876956351560032
S01B1,2019,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2019,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2019,REGION1,FIBM00X00,1,0.015008899126710969
S01B1,2019,REGION1,FICO00X00,1,7.923391411530866
S01B1,2019,REGION1,FING00I00,1,1.2051416757911515
S01B1,2019,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2019,REGION1,FIUR00I00,1,13.880603472642349
S01B1,2019,REGION1,FIWSSTPH1,1,3.0411160016724246
S01B1,2019,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2019,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2019,REGION1,SEBM00X00,1,0.16808612933481828
S01B1,2019,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2019,REGION1,SECO00X00,1,0.5651033221953654
S01B1,2019,REGION1,SECOCHPH3,1,0.22934015770659788
S01B1,2019,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2019,REGION1,SENUG2PH3,1,12.422246275777507
S01B1,2019,REGION1,SEUR00I00,1,37.64313288948858
S01B1,2019,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2019,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2019,REGION1,SEELLTEH1,1,0.3736092547429021
S01B1,2019,REGION1,DKELDEIH1,1,1.7816789576056355
S01B1,2019,REGION1,DKEL00TD0,1,4.369247127406787
S01B1,2019,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2019,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2019,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2019,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2019,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2019,REGION1,DKWS00X00,1,0.10965337695146596
S01B1,2019,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2019,REGION1,FICOSTPH3,1,3.7078732429212584
S01B1,2019,REGION1,FIEL00TD0,1,13.650856935194378
S01B1,2019,REGION1,FIELSEPH1,2,0.7939998458427242
S01B1,2019,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2019,REGION1,FIHYDMPH2,1,0.9280026185292516
S01B1,2019,REGION1,FINUG3PN3,1,0.6545877658358711
S01B1,2019,REGION1,FISOUTPH2,1,3.096734945077366e-06
S01B1,2019,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2019,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2019,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2019,REGION1,FIWS00X00,1,8.740015333006466
S01B1,2019,REGION1,NOEL00TD0,1,22.0509154759526
S01B1,2019,REGION1,NOHYDMPH1,1,1.6465588731313343
S01B1,2019,REGION1,NOHYDMPH2,1,11.069398565489044
S01B1,2019,REGION1,NOHYDMPH3,1,6.011365599728243
S01B1,2019,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2019,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2019,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2019,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2019,REGION1,NOWIONPN3,1,1.3344638842553578
S01B1,2019,REGION1,NOWS00X00,1,0.3844454150048249
S01B1,2019,REGION1,SEEL00TD0,1,22.29002392495767
S01B1,2019,REGION1,SEHYDMPH1,1,0.4660332421821388
S01B1,2019,REGION1,SEHYDMPH2,1,4.552661087613367
S01B1,2019,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2019,REGION1,SEHYDSPH2,1,0.1285631987143677
S01B1,2019,REGION1,SEOCWVPH1,1,0.013823999861759965
S01B1,2019,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2019,REGION1,SESOUTPH2,1,1.0728397089360228e-07
S01B1,2019,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2019,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2019,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2019,REGION1,SEWS00X00,1,1.8215984752537067
S01B1,2019,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2019,REGION1,SEHGSRPH2,1,0.6129838749582863
S01B1,2019,REGION1,FIHGSRPH2,1,0.7953943014164616
S01B1,2019,REGION1,NOHGTDP00,1,1.1883144281236353
S01B1,2019,REGION1,SEHGTDP00,1,0.6105295461826321
S01B1,2019,REGION1,FIHGTDP00,1,0.79220961874909
S01B1,2020,REGION1,DKCO00I00,1,3.4191754170640394
S01B1,2020,REGION1,DKCOCHPH3,1,1.1744596466263046
S01B1,2020,REGION1,DKNG00X00,1,0.24890367789858572
S01B1,2020,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2020,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2020,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2020,REGION1,FICO00X00,1,15.532055658792686
S01B1,2020,REGION1,FICOCHPH3,1,3.320538590794606
S01B1,2020,REGION1,FING00I00,1,1.2051416757911515
S01B1,2020,REGION1,FINUG2PH3,1,3.3757646699450743
S01B1,2020,REGION1,FIUR00I00,1,17.43480876568225
S01B1,2020,REGION1,FIWSCHPH2,1,0.07511274521042242
S01B1,2020,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2020,REGION1,NOWSSTPH1,1,0.11310110586680673
S01B1,2020,REGION1,SEBM00X00,1,4.122122223837708
S01B1,2020,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2020,REGION1,SECO00X00,1,0.5593652314495463
S01B1,2020,REGION1,SECOCHPH3,1,0.22934015770659788
S01B1,2020,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2020,REGION1,SENUG2PH3,1,11.155967888440294
S01B1,2020,REGION1,SEUR00I00,1,33.805929492340624
