REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,S03B3,DKE2,2041,10.774433455
REGION1,S04B1,DKE2,2041,4.214462898650001
REGION1,S04B2,DKE2,2041,15.8159741009
REGION1,S04B3,DKE2,2041,2.4879321981
REGION1,S05B1,DKE2,2041,4.3724712096500005
REGION1,S05B2,DKE2,2041,16.1078391246
REGION1,S05B3,DKE2,2041,2.6426865571
REGION1,S01B1,DKE2,2042,7.395592944960001
REGION1,S01B2,DKE2,2042,26.91107705232
REGION1,S01B3,DKE2,2042,4.38334467264
REGION1,S02B1,DKE2,2042,3.94859955456
REGION1,S02B2,DKE2,2042,14.729790212640001
REGION1,S02B3,DKE2,2042,1.51419718944
REGION1,S03B1,DKE2,2042,15.11828475984
REGION1,S03B2,DKE2,2042,68.41333772064
REGION1,S03B3,DKE2,2042,11.028435695999999
REGION1,S04B1,DKE2,2042,4.31381689488
REGION1,S04B2,DKE2,2042,16.188828310079998
REGION1,S04B3,DKE2,2042,2.54658403872
REGION1,S05B1,DKE2,2042,4.47555017808
REGION1,S05B2,DKE2,2042,16.48757391552
REGION1,S05B3,DKE2,2042,2.70498665952
REGION1,S01B1,DKE2,2043,7.567033548800001
REGION1,S01B2,DKE2,2043,27.5349149696
REGION1,S01B3,DKE2,2043,4.4849569792
REGION1,S02B1,DKE2,2043,4.0401338368
REGION1,S02B2,DKE2,2043,15.071248179200001
REGION1,S02B3,DKE2,2043,1.5492984832
REGION1,S03B1,DKE2,2043,15.468748595200001
REGION1,S03B2,DKE2,2043,69.9992584192
REGION1,S03B3,DKE2,2043,11.28409088
REGION1,S04B1,DKE2,2043,4.4138174464
REGION1,S04B2,DKE2,2043,16.5641089024
REGION1,S04B3,DKE2,2043,2.6056175616000004
REGION1,S05B1,DKE2,2043,4.5792999424000005
REGION1,S05B2,DKE2,2043,16.8697798656
REGION1,S05B3,DKE2,2043,2.7676921856
REGION1,S01B1,DKE2,2044,7.739213120760001
REGION1,S01B2,DKE2,2044,28.16144184342
REGION1,S01B3,DKE2,2044,4.58700726984
REGION1,S02B1,DKE2,2044,4.13206266336
REGION1,S02B2,DKE2,2044,15.41417794734
REGION1,S02B3,DKE2,2044,1.58455107564
REGION1,S03B1,DKE2,2044,15.820723050540002
REGION1,S03B2,DKE2,2044,71.59201498284
REGION1,S03B3,DKE2,2044,11.540848025999999
REGION1,S04B1,DKE2,2044,4.514249034780001
REGION1,S04B2,DKE2,2044,16.94100708348
REGION1,S04B3,DKE2,2044,2.6649055393200003
REGION1,S05B1,DKE2,2044,4.68349690398
REGION1,S05B2,DKE2,2044,17.25363325512
REGION1,S05B3,DKE2,2044,2.83066799412
REGION1,S01B1,DKE2,2045,7.911762176780001
REGION1,S01B2,DKE2,2045,28.789313195509997
REGION1,S01B3,DKE2,2045,4.68927655252
REGION1,S02B1,DKE2,2045,4.22418876208
REGION1,S02B2,DKE2,2045,15.75784361627
REGION1,S02B3,DKE2,2045,1.61987931742
REGION1,S03B1,DKE2,2045,16.17345281587
REGION1,S03B2,DKE2,2045,73.18818947902
REGION1,S03B3,DKE2,2045,11.798156152999999
REGION1,S04B1,DKE2,2045,4.61489614159
REGION1,S04B2,DKE2,2045,17.31871405894
REGION1,S04B3,DKE2,2045,2.72432074446
REGION1,S05B1,DKE2,2045,4.78791746419
REGION1,S05B2,DKE2,2045,17.63831036436
REGION1,S05B3,DKE2,2045,2.89377894386
REGION1,S01B1,DKE2,2046,8.084680716860001
REGION1,S01B2,DKE2,2046,29.418529025869997
REGION1,S01B3,DKE2,2046,4.79176482724
REGION1,S02B1,DKE2,2046,4.31651213296
REGION1,S02B2,DKE2,2046,16.10224518599
REGION1,S02B3,DKE2,2046,1.65528320854
REGION1,S03B1,DKE2,2046,16.526937891190002
REGION1,S03B2,DKE2,2046,74.78778190774
REGION1,S03B3,DKE2,2046,12.056015260999999
REGION1,S04B1,DKE2,2046,4.7157587668300005
REGION1,S04B2,DKE2,2046,17.69722982878
REGION1,S04B3,DKE2,2046,2.78386317702
REGION1,S05B1,DKE2,2046,4.89256162303
REGION1,S05B2,DKE2,2046,18.02381119332
REGION1,S05B3,DKE2,2046,2.95702503482
REGION1,S01B1,DKE2,2047,8.257968741000001
REGION1,S01B2,DKE2,2047,30.0490893345
REGION1,S01B3,DKE2,2047,4.894472093999999
REGION1,S02B1,DKE2,2047,4.409032776
REGION1,S02B2,DKE2,2047,16.4473826565
REGION1,S02B3,DKE2,2047,1.690762749
REGION1,S03B1,DKE2,2047,16.881178276500002
REGION1,S03B2,DKE2,2047,76.390792269
REGION1,S03B3,DKE2,2047,12.314425349999999
REGION1,S04B1,DKE2,2047,4.8168369105
REGION1,S04B2,DKE2,2047,18.076554393
REGION1,S04B3,DKE2,2047,2.843532837
REGION1,S05B1,DKE2,2047,4.9974293805
REGION1,S05B2,DKE2,2047,18.410135742
REGION1,S05B3,DKE2,2047,3.020406267
REGION1,S01B1,DKE2,2048,8.43199573326
REGION1,S01B2,DKE2,2048,30.68233859967
REGION1,S01B3,DKE2,2048,4.99761734484
REGION1,S02B1,DKE2,2048,4.50194796336
REGION1,S02B2,DKE2,2048,16.79399192859
REGION1,S02B3,DKE2,2048,1.72639358814
REGION1,S03B1,DKE2,2048,17.23692928179
REGION1,S03B2,DKE2,2048,78.00063849534
REGION1,S03B3,DKE2,2048,12.573937401
REGION1,S04B1,DKE2,2048,4.91834609103
REGION1,S04B2,DKE2,2048,18.45749654598
REGION1,S04B3,DKE2,2048,2.9034569518200004
REGION1,S05B1,DKE2,2048,5.102744335230001
REGION1,S05B2,DKE2,2048,18.79810773012
