REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMSTPH3,1,2031,DKBM,S04B1,29.47297689398367
REGION1,DKBMSTPH3,1,2031,DKBM,S04B2,95.8288942639409
REGION1,DKBMSTPH3,1,2031,DKBM,S04B3,95.8288942639409
REGION1,DKBMSTPH3,1,2031,DKBM,S05B1,10.08159340104367
REGION1,DKBMSTPH3,1,2031,DKBM,S05B2,78.74862645809048
REGION1,DKBMSTPH3,1,2031,DKBM,S05B3,34.71616378377907
REGION1,DKBMSTPH3,1,2032,DKBM,S01B1,59.0888091993292
REGION1,DKBMSTPH3,1,2032,DKBM,S01B2,103.60988734682388
REGION1,DKBMSTPH3,1,2032,DKBM,S01B3,103.60988734682388
REGION1,DKBMSTPH3,1,2032,DKBM,S02B1,82.68044859350759
REGION1,DKBMSTPH3,1,2032,DKBM,S02B2,103.60988734682388
REGION1,DKBMSTPH3,1,2032,DKBM,S03B1,55.753844852251625
REGION1,DKBMSTPH3,1,2032,DKBM,S03B2,63.01147421246213
REGION1,DKBMSTPH3,1,2032,DKBM,S03B3,71.59785072397628
REGION1,DKBMSTPH3,1,2032,DKBM,S04B1,6.013268008006006
REGION1,DKBMSTPH3,1,2032,DKBM,S04B2,103.60988734682388
REGION1,DKBMSTPH3,1,2032,DKBM,S05B1,22.023985781041173
REGION1,DKBMSTPH3,1,2032,DKBM,S05B2,103.60988734682388
REGION1,DKBMSTPH3,1,2032,DKBM,S05B3,51.03703498671517
REGION1,DKBMSTPH3,1,2033,DKBM,S01B1,57.63424789604423
REGION1,DKBMSTPH3,1,2033,DKBM,S01B2,107.67688214387239
REGION1,DKBMSTPH3,1,2033,DKBM,S01B3,78.20337137456917
REGION1,DKBMSTPH3,1,2033,DKBM,S02B1,81.6918048391707
REGION1,DKBMSTPH3,1,2033,DKBM,S02B2,107.67688214387239
REGION1,DKBMSTPH3,1,2033,DKBM,S02B3,88.45936452220357
REGION1,DKBMSTPH3,1,2033,DKBM,S03B1,57.87975786142307
REGION1,DKBMSTPH3,1,2033,DKBM,S03B2,59.831199539487834
REGION1,DKBMSTPH3,1,2033,DKBM,S03B3,107.67688214387239
REGION1,DKBMSTPH3,1,2033,DKBM,S04B2,107.67688214387239
REGION1,DKBMSTPH3,1,2033,DKBM,S04B3,107.67688214387239
REGION1,DKBMSTPH3,1,2033,DKBM,S05B2,107.67688214387239
REGION1,DKBMSTPH3,1,2034,DKBM,S01B1,50.74775060804623
REGION1,DKBMSTPH3,1,2034,DKBM,S01B2,103.0591997305699
REGION1,DKBMSTPH3,1,2034,DKBM,S01B3,111.18503317528518
REGION1,DKBMSTPH3,1,2034,DKBM,S02B1,78.78967177101998
REGION1,DKBMSTPH3,1,2034,DKBM,S02B2,111.18503317528518
REGION1,DKBMSTPH3,1,2034,DKBM,S02B3,87.6944273328503
REGION1,DKBMSTPH3,1,2034,DKBM,S03B1,57.47129147018604
REGION1,DKBMSTPH3,1,2034,DKBM,S03B2,64.62587508509029
REGION1,DKBMSTPH3,1,2034,DKBM,S03B3,77.7612691168947
REGION1,DKBMSTPH3,1,2034,DKBM,S04B1,32.19694981718837
REGION1,DKBMSTPH3,1,2034,DKBM,S04B2,111.18503317528518
REGION1,DKBMSTPH3,1,2034,DKBM,S04B3,111.18503317528518
REGION1,DKBMSTPH3,1,2034,DKBM,S05B2,111.18503317528518
REGION1,DKBMSTPH3,1,2034,DKBM,S05B3,91.87667880922034
REGION1,DKBMSTPH3,1,2035,DKBM,S01B1,47.09007472055379
REGION1,DKBMSTPH3,1,2035,DKBM,S01B2,113.77585410692397
REGION1,DKBMSTPH3,1,2035,DKBM,S01B3,113.775854106924
REGION1,DKBMSTPH3,1,2035,DKBM,S02B1,65.86495318409916
REGION1,DKBMSTPH3,1,2035,DKBM,S02B2,113.775854106924
REGION1,DKBMSTPH3,1,2035,DKBM,S02B3,113.775854106924
REGION1,DKBMSTPH3,1,2035,DKBM,S03B1,23.22488156635966
REGION1,DKBMSTPH3,1,2035,DKBM,S03B2,66.03221830415002
REGION1,DKBMSTPH3,1,2035,DKBM,S03B3,113.775854106924
REGION1,DKBMSTPH3,1,2035,DKBM,S04B1,34.145549835552
REGION1,DKBMSTPH3,1,2035,DKBM,S04B2,113.775854106924
REGION1,DKBMSTPH3,1,2035,DKBM,S04B3,113.775854106924
REGION1,DKBMSTPH3,1,2035,DKBM,S05B1,28.264324293405007
REGION1,DKBMSTPH3,1,2035,DKBM,S05B2,113.775854106924
REGION1,DKBMSTPH3,1,2035,DKBM,S05B3,113.775854106924
REGION1,DKBMSTPH3,1,2036,DKBM,S01B1,41.86527835842058
REGION1,DKBMSTPH3,1,2036,DKBM,S01B2,116.10678510509318
REGION1,DKBMSTPH3,1,2036,DKBM,S01B3,116.10678510509318
REGION1,DKBMSTPH3,1,2036,DKBM,S02B1,60.80517094539822
REGION1,DKBMSTPH3,1,2036,DKBM,S02B2,116.10678510509318
REGION1,DKBMSTPH3,1,2036,DKBM,S02B3,116.10678510509318
REGION1,DKBMSTPH3,1,2036,DKBM,S03B1,7.880343227848234
REGION1,DKBMSTPH3,1,2036,DKBM,S03B2,61.61718092114961
REGION1,DKBMSTPH3,1,2036,DKBM,S03B3,116.10678510509318
REGION1,DKBMSTPH3,1,2036,DKBM,S04B1,116.10678510509318
REGION1,DKBMSTPH3,1,2036,DKBM,S04B2,116.10678510509318
REGION1,DKBMSTPH3,1,2036,DKBM,S04B3,69.19508093642176
REGION1,DKBMSTPH3,1,2036,DKBM,S05B1,116.10678510509318
REGION1,DKBMSTPH3,1,2036,DKBM,S05B2,116.10678510509318
