name,group,indexes,min_value_base_year,max_value_base_year,min_value_end_year,max_value_end_year,dist,interpolation_index,action
CapitalCost,cost_renew,"REGION1,DKBMCHPH3",3600.0,3600.0,2586.4081632,3161.165532800001,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKBMSTPH3",2110.062859,2110.062859,1688.7209256,2063.9922424,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKHYDMPH0",3000.0,3000.0,2504.8151118,3061.4406922,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKHYDMPH1",3370.0,3370.0,2810.5868565,3435.1617135,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKHYDMPH2",2705.0,2705.0,2253.49587,2754.272730000001,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKHYDMPH3",2295.0,2295.0,1914.2148933,2339.5959807,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKSODIFH1",1360.0,1360.0,567.0,693.0,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKSOUTPH2",1020.0,1020.0,168.3,205.7,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKWIOFPH3",3500.0,3500.0,2196.563265,2684.688435,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKWIOFPN2",3500.0,3500.0,2196.563265,2684.688435,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKWIOFPN3",3500.0,3500.0,2196.563265,2684.688435,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKWIONPH3",1350.0,1350.0,963.9999998999999,1178.2222221,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIBFHPFH1",4966.896226,4966.896226,4067.623683,4971.540057,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIBMCCPH1",4676.623663,4676.623663,2149.4280375,2627.0787125,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIBMCHPH3",3600.0,3600.0,2586.4081632,3161.165532800001,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIBMSTPH3",2110.062859,2110.062859,1688.7209256,2063.9922424,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIHYDMPH0",3000.0,3000.0,2504.8151118,3061.4406922,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIHYDMPH1",3370.0,3370.0,2810.5868565,3435.1617135,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIHYDMPH2",2705.0,2705.0,2253.49587,2754.272730000001,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIHYDMPH3",2295.0,2295.0,1914.2148933,2339.5959807,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FISODIFH1",1360.0,1360.0,567.0,693.0,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FISOUTPH2",1020.0,1020.0,168.3,205.7,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIWIOFPH3",3500.0,3500.0,2196.563265,2684.688435,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIWIOFPN2",3500.0,3500.0,2196.563265,2684.688435,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIWIOFPN3",3500.0,3500.0,2196.563265,2684.688435,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,FIWIONPH3",1350.0,1350.0,963.9999998999999,1178.2222221,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOBFHPFH1",4966.896226,4966.896226,4067.623683,4971.540057,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOBMCCPH1",4676.623663,4676.623663,2149.4280375,2627.0787125,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOBMCHPH3",3600.0,3600.0,2586.4081632,3161.165532800001,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOBMSTPH3",2110.062859,2110.062859,1688.7209256,2063.9922424,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOHYDMPH0",3000.0,3000.0,2504.8151118,3061.4406922,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOHYDMPH1",3370.0,3370.0,2810.5868565,3435.1617135,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOHYDMPH2",2705.0,2705.0,2253.49587,2754.272730000001,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOHYDMPH3",2295.0,2295.0,1914.2148933,2339.5959807,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOSODIFH1",1360.0,1360.0,567.0,693.0,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,NOSOUTPH2",1020.0,1020.0,168.3,205.7,unif,YEAR,interpolate
